STRUC_Easting,STRUC_Northing,STRUC_Elevation,Leapfrog Dip,Leapfrog Dip Direction,Mute Flag
9245.26,5869.2,3983.9,72.886,53.63,3
9242.77,5864.21,3972.72,45.678,67.811,1
9232.01,5843.46,3926.15,44.552,59.178,M
9229.41,5838.51,3915.19,44.602,71.182,M
9228.87,5837.46,3912.88,39.584,56.97,M
9227.32,5834.54,3906.43,38.441,59.37,3
9225.19,5830.64,3897.75,46.859,79.427,M
9224.09,5828.64,3893.29,31.929,91.374,M
9221.68,5824.24,3883.51,46.2,69.315,M
9217.18,5816.22,3865.58,47.573,67.913,1
9213.86,5810.54,3852.71,46.002,71.907,3
9246.93,5877.13,3995.75,38.426,63.169,3
9243.9,5874.08,3984.12,54.107,62.047,M
9233.8,5863.74,3945.64,53.743,65.102,M
9229.01,5858.86,3927.59,45.071,56.666,3
9228.59,5858.43,3926,45.071,56.788,1
9228.3,5858.14,3924.93,44.169,62.743,M
9224.8,5854.73,3912.07,39.467,81.121,3
9223.04,5853.03,3905.62,41.506,74.976,M
9237.71,5806.45,3925.84,43.634,74.863,1
9236.97,5803.48,3922.27,54.462,66.145,M
9236.3,5800.84,3919.08,48.793,87.237,1
9101.38,6159.76,3984.02,67.631,61.491,1
9098.81,6160.57,3980.86,64.57,49.875,1
9095.03,6161.75,3976.23,21.689,44.014,1
9093.62,6162.17,3974.46,54.466,46.846,3
9089.76,6163.31,3969.61,48.682,49.039,M
9087.28,6164.04,3966.49,48.596,48.622,3
9081.98,6165.58,3959.83,46.254,45.709,3
9076.26,6167.06,3952.52,39.944,39.403,M
9074.05,6167.63,3949.68,39.248,52.565,3
9071.34,6168.33,3946.21,47.88,54.061,M
9069.08,6168.91,3943.28,44.884,67.629,M
9128.29,6155.23,4017.65,28.408,70.217,M
9094.49,6184.15,3975.98,51.458,69.852,1
9093.41,6185.09,3974.59,49.264,75.659,1
9091.5,6186.72,3972.15,55.017,79.012,M
9089.59,6188.36,3969.72,49.264,75.12,M
9088.62,6189.16,3968.5,52.174,76.746,1
9105.14,6189.92,3988.78,89.945,115.723,M
9092.62,6206.44,3972.75,49.116,20.745,M
9090.83,6208.81,3970.42,18.484,98.942,M
9087.53,6213.15,3966.09,30.766,68.525,3
9374.2,5987.92,3921.22,38.212,6.922,M
9374.13,5987.77,3918.43,48.349,11.209,1
9373.63,5986.73,3900.56,46.755,323.683,M
9373.44,5986.32,3893.88,41.824,324.382,1
9373.15,5985.7,3884.4,26.36,318.379,3
9372.45,5984.23,3862.77,43.921,358.33,1
9372.08,5983.47,3852.1,48.264,343.618,1
9371.66,5982.58,3839.54,34.26,7.72,3
9371.31,5981.87,3829.47,37.427,331.294,M
9371.21,5981.66,3826.48,34.26,8.637,1
9370.95,5981.15,3819.3,43.313,345.47,1
9370.77,5980.79,3814.12,41.672,351.182,1
9370.44,5980.18,3805.94,28.897,354.598,3
9369.59,5978.66,3786.22,35.18,339.831,1
9369.31,5978.14,3779.75,38.84,348.439,1
9369.12,5977.79,3775.32,33.599,345.616,1
9368.96,5977.49,3771.58,38.902,349.754,M
9368.88,5977.36,3770.04,38.601,345.445,M
9368.63,5976.96,3765.01,39.497,359.814,M
9367.87,5975.71,3749.58,34.651,1.089,3
9367.67,5975.38,3745.65,43.258,13.446,M
9366.98,5974.25,3732.16,34.842,0.596,1
9366.61,5973.61,3725,39.635,354.993,3
9366.54,5973.49,3723.56,34.682,355.828,1
