Easting,Northing,Elevation,DipAngle,DipDirection
8646.581401,6439.43807,4643.960775,43.09520268,54.75792265
8663.809377,6372.61141,4663.835449,42.24108952,59.81421542
8630.39209,6347.523112,4701.341146,41.92347756,59.85160281
8640.272624,6298.132243,4716.036092,42.03458709,59.68325951
8600.780182,6275.295614,4754.944743,39.32208705,59.79627931
8607.776449,6209.033407,4774.742147,38.49295407,64.95491882
8563.802043,6180.47465,4812.06132,32.45060691,65.87691356
8567.255046,6121.152507,4823.512207,30.94924305,70.79808201
8528.925242,6093.704468,4848.39799,26.43907826,72.60411769
8535.276632,6028.738139,4851.807129,25.29665142,85.10645517
8491.874563,5999.18925,4869.236938,18.560417,92.53706799
8491.475128,5938.458049,4867.483765,18.71916845,98.01187889
8439.339996,5908.670207,4879.610636,14.45692355,114.8153779
8439.696991,5849.0908,4875.137533,13.40549471,99.30422389
8379.247091,5820.148438,4885.559001,10.83525746,116.0667712
8379.443665,5760.790019,4882.926554,9.78670385,91.07934427
8318.024841,5730.889872,4892.590129,8.694947099,96.74087971
8314.467143,5669.151896,4893.280355,8.698255377,81.84275611
8251.032104,5639.412618,4903.439331,8.550956732,82.16258957
8251.101807,5580.499756,4904.796143,8.617982438,80.06701488
8191.294637,5552.984741,4914.778971,9.091798373,78.43879
8191.178467,5493.6633,4916.483154,9.020420891,81.02639793
8125.407959,5463.812612,4927.659953,9.201228886,80.45707495
8125.303833,5404.607808,4928.800741,9.100480295,86.0228399
8073.15625,5374.938416,4937.637777,9.431423052,84.77522199
8076.402629,5315.868937,4937.321411,9.403434457,92.6465646
8035.37618,5286.074036,4943.949585,9.56489433,92.15309748
8034.810771,5226.680791,4943.149984,9.661382924,98.03366295
7990.496928,5196.675268,4949.923218,9.690927134,97.94773811
7985.20225,5144.562558,4949.23641,9.854589797,103.0754966
7933.517741,5114.685239,4956.792806,9.83865889,103.1820845
7930.321167,5054.819961,4954.351115,10.30971431,108.5116042
7872.325602,5017.74215,4962.220133,10.31683697,108.4647647
7872.526733,4958.030373,4958.291219,10.60488841,112.8880794
7812.487671,4928.786508,4966.54187,10.62529023,112.7068056
7812.719686,4869.049227,4961.753174,10.94591913,116.585934
7768.017334,4866.596405,4969.271525,10.94088003,116.6366287
7765.654948,4836.749128,4967.093018,10.9409415,116.6358293
8600.286865,6462.367147,4664.65214,40.9035231,50.6597208
8561.78714,6432.320557,4703.682861,36.31257032,50.17334149
8504.170125,6467.822062,4717.181437,35.5284431,45.13680258
8462.583354,6439.248861,4748.582153,29.14751684,42.91049149
8412.682576,6462.166707,4758.529256,29.49171286,44.08659306
8366.351929,6430.878133,4783.679525,20.53893849,39.94100989
8308.474223,6465.407471,4795.431478,24.21964682,71.89175495
8252.319031,6443.109009,4819.076294,18.88073983,75.41258793
8204.992289,6474.159871,4839.329956,29.9320787,97.87864548
8159.507406,6443.98759,4860.179891,25.64105515,103.9289906
8118.68573,6471.518392,4886.166178,31.78636114,106.8422058
8067.168233,6436.954427,4907.266642,29.07171582,113.8202412
8025.93337,6465.606201,4935.11853,29.95065268,114.1255288
7981.792379,6436.591553,4950.053711,27.61389603,117.9602881
7940.896952,6469.414063,4974.969604,24.53602321,117.3404866
7883.522746,6441.990031,4989.964193,22.86331211,126.3517626
7835.583781,6479.384521,5014.532715,21.06956963,126.1887963
7789.311605,6466.32373,5024.761271,19.34166929,133.3866278
7762.355794,6482.30485,5035.523315,19.948306,133.1634412
7744.171468,6457.80127,5034.310384,19.87546047,130.7245762
8574.664388,6384.303182,4720.497192,38.37561448,46.64550656
8535.52474,6355.942952,4755.712362,34.71758336,47.17978016
8481.06072,6375.387126,4770.298747,31.38914678,36.81728396
8437.201426,6347.099121,4795.1368,23.32819578,31.09068954
8372.393412,6379.672282,4798.570475,23.30764422,34.90655925
8313.457153,6354.670695,4815.129964,13.09646094,24.05193348
8251.260478,6383.578084,4823.88383,18.566658,79.10242825
8195.63975,6348.238647,4839.40507,11.75734819,93.29037351
8151.21342,6377.59729,4855.447469,26.00907473,106.79897
8104.78481,6348.547282,4871.459554,23.50026192,110.5566225
8061.5613,6380.373617,4897.29244,29.17901378,114.2470467
8005.148966,6345.157959,4917.282186,28.72799124,115.9520659
7966.614909,6372.724121,4942.191569,27.30400162,115.512358
7917.455811,6349.879842,4958.725179,25.51533803,118.3018037
7875.259074,6386.323242,4981.581909,20.57422858,113.838273
7810.94165,6358.030233,4996.298584,18.00353169,125.4571462
7770.761678,6359.063029,5007.087036,17.27676,125.2445636
7743.805868,6329.255127,5008.597575,17.44122672,123.7004372
8465.887075,6703.140584,4658.71346,31.28433511,74.80829995
8418.473918,6734.747721,4682.671183,32.76077657,76.61845141
8412.575277,6800.431112,4680.619344,31.90956225,88.78917793
8369.411519,6831.434937,4710.055094,36.05655593,93.06154819
8371.744039,6889.491211,4713.250407,36.35367291,100.3250566
8334.36731,6918.184489,4747.814494,41.93800429,103.8861493
8476.720011,6637.321452,4667.937866,32.62267565,61.02316242
8434.061066,6609.766805,4698.811523,30.10703325,61.50143065
8381.078715,6645.487996,4719.66154,32.83390785,71.34975379
8339.494731,6615.996989,4750.148397,31.22463999,72.17236092
8295.43866,6645.323079,4775.429159,38.1009263,79.92600679
8257.442342,6611.735962,4805.970947,33.33583456,83.28382105
8213.462362,6647.295003,4837.930094,41.54767665,89.84295212
8172.496623,6617.513306,4869.883789,36.13768086,95.16598849
8130.471619,6651.931152,4904.521281,38.64130602,97.181854
8090.085775,6629.036255,4930.935465,33.61834016,103.9811969
8049.361735,6659.514364,4961.407227,32.55295327,103.3242037
8001.226278,6628.43807,4982.182088,28.97997308,113.4556541
7953.410868,6651.555054,5010.230347,26.78261646,112.6736566
7905.243083,6627.491007,5025.736043,23.85827588,121.4477854
7858.627035,6659.182699,5049.87146,22.5506848,121.2497493
7803.142293,6631.268107,5061.194295,21.55969148,130.5360333
7763.577026,6655.4434,5079.043701,20.87707629,130.6597027
8522.118479,6613.791097,4648.474569,34.39503627,64.08022225
8536.494873,6549.793376,4664.064168,36.18299909,51.84136162
8496.360402,6520.458333,4697.586263,31.804834,51.47596353
8557.106232,6650.343018,4615.720133,34.82649697,63.96261523
8604.50176,6625.448405,4590.645915,38.05297801,69.83816794
8615.823456,6566.306803,4603.964803,40.14264567,57.85446882
8663.071554,6540.100423,4578.584717,43.35780553,63.82633796
8676.346954,6478.068237,4598.55717,45.38661867,54.71594269
